"STATION","NAME","DATE","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFM","WESD","WSF2","WSF5","WSFM","WT01","WT02","WT05","WT07","WT08","WT09","WT13","WT16","WT18","WT19"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-02-03","   80",,,,"0.00","   82","0.0","0.0",,"76","47","  522",,,"  270",,,,"10.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-02-04","   90",,,,"0.00","   61","0.0","0.0",,"68","54","  390",,,"  180",,,,"6.9",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-02-05","   40",,,,"0.00","   75","0.0","0.0",,"67","52","  480",,,"  225",,,,"12.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-02-06","   40",,,,"0.00","   91","0.0","0.0",,"75","50","  588",,,"  225",,,,"11.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-02-07","    0",,,,"0.00","   93","0.0","0.0",,"84","54","  594",,,"  225",,,,"10.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-02-08","   70",,,,"0.00","   82","0.0","0.0",,"83","54","  528",,,"  225",,,,"13.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-02-09","  100",,,,"0.34","    2","0.0","0.0",,"63","59","   12",,,"  135",,,,"19.9",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-02-10","  100",,,,"1.00","    1","0.0","0.0",,"63","58","    6",,,"  135",,,,"17.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-02-11","   90",,,,"0.01","   16","0.0","0.0",,"64","56","  102",,,"  270",,,,"8.9",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-02-12","   90",,,,"0.00","   17","0.0","0.0",,"63","54","  114",,,"  270",,,,"8.9",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-02-13","   80",,,,"0.00","   54","0.0","0.0",,"64","50","  354",,,"  225",,,,"14.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-02-14","   20",,,,"0.00","   99","0.0","0.0",,"67","52","  648",,,"  315",,,,"11.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-02-15","    0",,,,"0.00","   97","0.0","0.0",,"76","50","  636",,,"  270",,,,"8.9",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-02-16","    0",,,,"0.00","  100","0.0","0.0",,"74","53","  660",,,"  225",,,,"12.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-02-17","   20",,,,"0.00","   79","0.0","0.0",,"67","51","  528",,,"  315",,,,"25.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-02-18","    0",,,,"0.00","  100","0.0","0.0",,"73","52","  666",,,"  315",,,,"19.9",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-02-19","    0",,,,"0.00","  100","0.0","0.0",,"70","50","  666",,,"   45",,,,"16.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-02-20","   20",,,,"0.00","   93","0.0","0.0",,"71","55","  624",,,"  135",,,,"19.9",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-02-21","   10",,,,"0.00","   99","0.0","0.0",,"66","46","  660",,,"  225",,,,"10.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-02-22","   10",,,,"0.00","   98","0.0","0.0",,"69","46","  660",,,"  225",,,,"12.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-02-23","   20",,,,"0.00","   94","0.0","0.0",,"75","50","  630",,,"  225",,,,"15.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-02-24","   30",,,,"0.00","   88","0.0","0.0",,"74","55","  594",,,"  225",,,,"13.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-02-25","   40",,,,"0.00","   94","0.0","0.0",,"80","52","  636",,,"  225",,,,"11.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-02-26","   40",,,,"0.00","   86","0.0","0.0",,"78","56","  588",,,"  225",,,,"16.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-02-27","  100",,,,"0.00","   23","0.0","0.0",,"66","54","  162",,,"  180",,,,"12.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-02-28","  100",,,,"1.23","    1","0.0","0.0",,"59","55","    6",,,"  225",,,,"27.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-01","  100",,,,"0.79","    6","0.0","0.0",,"59","55","   42",,,"  225",,,,"12.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-02","  100",,,,"0.10","    6","0.0","0.0",,"62","54","  108",,,"  135",,,,"8.9",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-03","   90",,,,"0.00","   33","0.0","0.0",,"62","53","  228",,,"  225",,,,"10.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-04","  100",,,,"1.37","    9","0.0","0.0",,"60","49","   60",,,"  180",,,,"14.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-05","    0",,,,"0.00","  100","0.0","0.0",,"65","48","  696",,,"  225",,,,"19.9",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-06","    0",,,,"0.00","  100","0.0","0.0",,"71","48","  696",,,"  225",,,,"10.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-07","   10",,,,"0.00","   93","0.0","0.0",,"72","53","  654",,,"  225",,,,"11.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-08","   60",,,,"0.00","   55","0.0","0.0",,"64","54","  384",,,"  225",,,,"11.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-09","   90",,,,"0.00","   35","0.0","0.0",,"62","53","  252",,,"  225",,,,"16.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-10","   70",,,,"0.00","   55","0.0","0.0",,"63","53","  390",,,"  315",,,,"19.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-11","   60",,,,"0.00","   91","0.0","0.0",,"66","49","  648",,,"  225",,,,"12.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-12","   80",,,,"0.00","   58","0.0","0.0",,"68","50","  408",,,"  225",,,,"10.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-13","   40",,,,"0.00","   87","0.0","0.0",,"81","56","  618",,,"  270",,,,"11.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-14","   40",,,,"0.00","   95","0.0","0.0",,"82","60","  678",,,"  270",,,,"13.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-15","    0",,,,"0.00","  100","0.0","0.0",,"81","55","  720",,,"  225",,,,"11.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-16","   30",,,,"0.00","   91","0.0","0.0",,"80","54","  654",,,"  225",,,,"14.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-17","   40",,,,"0.00","   88","0.0","0.0",,"68","53","  630",,,"  225",,,,"11.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-18","   20",,,,"0.00","   97","0.0","0.0",,"72","56","  696",,,"   45",,,,"8.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-19","    0",,,,"0.00","  100","0.0","0.0",,"73","48","  726",,,"  225",,,,"15.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-20","    0",,,,"0.00","  100","0.0","0.0",,"73","53","  726",,,"  225",,,,"19.9",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-21","   10",,,,"0.00","   98","0.0","0.0",,"73","52","  714",,,"  225",,,,"13.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-22","   10",,,,"0.00","   94","0.0","0.0",,"78","54","  690",,,"  225",,,,"12.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-23","    0",,,,"0.00","  100","0.0","0.0",,"77","54","  732",,,"  270",,,,"11.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-24","    0",,,,"0.00","  100","0.0","0.0",,"70","54","  738",,,"  225",,,,"11.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-25","   40",,,,"0.00","   73","0.0","0.0",,"73","55","  540",,,"  225",,,,"13.0",,,,,,,,,,
